objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
04-Slugs,04-Slugs (1).jpg,,,Slugs,Matt Bodett,2025,a collage combining fine line drawings and colorful lettering and graphics,Image,,,,Ewing Gallery,,Image,Image/jpg,eng,Ewing Gallery,https://ewing-gallery.utk.edu/
21-Carousel,21-Carousel.jpg,,,Carousel,Elizabeth James,2010,A long image containing different sized and colored x-ray images of skulls,Image,,,,Ewing Gallery,,Image,Image/jpg,eng,Ewing Gallery,https://ewing-gallery.utk.edu/
22-Kaleidoscope,22-Kaleidoscope (1).jpg,,,Kaleidoscope,Elizabeth James,2010,a collection of 3 images featuring MRI's of an artists brain,Image,,,,Ewing Gallery,,Image,Image/jpg,eng,Ewing Gallery,https://ewing-gallery.utk.edu/
07-Citrus-Corners,07-Citrus-Corners (1).jpg,,,Citrus Corners,David Johnson,2012,"8 black rocks that are all different sizes made by cast plaster, paint, and plexiglas",Image,,,,Ewing Gallery,,physicalobject,Image/jpg,eng,Ewing Gallery,https://ewing-gallery.utk.edu/
30-Transient,30-Transient.jpg,,,Transient Objects Caught in a Multi-Dimentional Moment of Imposible Pringles,David Johnson,2020,a 3d printed white sculture that looks like a glob of glue,Image,,,,,,physicalobject,Image/jpg,eng,Ewing Gallery,https://ewing-gallery.utk.edu/
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
